"Timestamp","What is your gender?","Age","What is your weight in KG?","What is your height in cm?","What state are you from?","What is your physical activity level?","How’s your sleep quality","How many meals do you eat a day? (Approx 1 meal=500 cals)","How is your water intake?","What are your favourite meals on a cheat day? Mention atleast 3 (Separate multi ans by comma)","What are your favorite meals when trying to be healthy? (Atleast 3)","Do you have any of the following?","Do you have dietary restrictions?"
"2025/03/11 9:33:39 PM GMT+5:30","Male","21","70","170","Kerala","Occasionally (light activity)","3","4","8+ glasses a day","mandhi, alfahm, porotta","roti+dhal, rice+curd, dosa+sambar","",""
"2025/03/23 10:12:05 PM GMT+5:30","Female","20","52","165","Madhya Pradesh","Moderate (3-4 days a week)","5","4","3-5 glasses a day","Pasta, Naan, Cakes","Fruits and fruit shakes, curd rice, cucumber","",""
"2025/03/23 10:13:39 PM GMT+5:30","Female","21","61","161","Rajasthan","None","5","2","3-5 glasses a day","Icecream, Milkshakes , momo","Salads , veggies, soups","Hypertension;Obesity","Low sugar"
"2025/03/23 11:06:59 PM GMT+5:30","Female","19","51","153","Uttar Pradesh","Occasionally (light activity)","3","3","3-5 glasses a day","Momos,pasta ,pizza","Dal chawal , paneer roll , mess food","","Low sugar"
"2025/03/23 11:07:54 PM GMT+5:30","Female","20","49","160","Tamil Nadu","Intense (5-7 days a week)","4","3","6-8 glasses a day","Ramen, Burgers.","Rice and dhal","",""
"2025/03/23 11:09:44 PM GMT+5:30","Female","19","62","168","Madhya Pradesh","Moderate (3-4 days a week)","3","4","6-8 glasses a day","Cheese Sandwich, Chili paneer, white sauce pasta , sweet mawa","Moong dal soup, sprouts salad, fruits and amla juice ","",""
"2025/03/23 11:10:39 PM GMT+5:30","Female","18","53","158","Karnataka","Occasionally (light activity)","4","2","3-5 glasses a day","Chocolate, chips, pasta","acai bowl, tofu stir fry, poha","",""
"2025/03/23 11:11:09 PM GMT+5:30","Female","20","59","161","Karnataka","Occasionally (light activity)","4","3","8+ glasses a day","Cup noodels, maggi, pizza/burger ","Fruits, dry fruits, ABC malt, etc. And proper meal ","",""
"2025/03/23 11:39:10 PM GMT+5:30","Female","19","55","165","Karnataka","Occasionally (light activity)","2","3","1-2 glasses a day","Burger, biriyani, momos","Sprouts, salads, fruit juice ","Hypertension","None"
"2025/03/23 11:40:55 PM GMT+5:30","Female","18","50","157 cm ","Tamil Nadu","Moderate (3-4 days a week)","4","3","6-8 glasses a day","Dosa,Meal,Briyani ","Grains, Protein shakes, salad ","",""
"2025/03/23 11:52:55 PM GMT+5:30","Female","19","64","162","Uttar Pradesh","Occasionally (light activity)","3","3","6-8 glasses a day","French Fries, Burger, Pasta","Salad, sprouts, dal","",""
"2025/03/24 12:09:16 AM GMT+5:30","Female","20","52","153","Bihar","Occasionally (light activity)","4","3","3-5 glasses a day","Everyday is cheat day","Salad, fruits, sprouts ","",""
"2025/03/24 12:25:27 AM GMT+5:30","Female","19","56","171","Jharkhand","Moderate (3-4 days a week)","3","4","6-8 glasses a day","Deasert, chips, noodles","Fruits, dry fruits, seeds and nuts","",""
"2025/03/24 12:51:56 AM GMT+5:30","Female","20","58","167","Uttarakhand","Occasionally (light activity)","3","2","6-8 glasses a day","momos, burger, subway","salads, lobia chat, omelette","",""
"2025/03/24 9:40:24 AM GMT+5:30","Female","18","46","149","Karnataka","Occasionally (light activity)","2","3","3-5 glasses a day","Grilled cheese sandwich","","",""
"2025/03/24 9:45:18 AM GMT+5:30","Female","20","60","153","Uttar Pradesh","Occasionally (light activity)","3","2","3-5 glasses a day","Pizza Chole and momos ","Fruits salads and oats","",""
"2025/03/24 1:05:26 PM GMT+5:30","Female","19","42","152","Andhra Pradesh","Occasionally (light activity)","4","3","6-8 glasses a day","","","",""
"2025/03/24 1:28:49 PM GMT+5:30","Male","18","80","179","Kerala","Moderate (3-4 days a week)","2","3","6-8 glasses a day","Gulab jamun, Nutella, Mountain Dew","Chicken, Eggs, Fruits","","Low sugar"
"2025/03/24 3:00:43 PM GMT+5:30","Female","18","68","158","Maharashtra","Moderate (3-4 days a week)","1","2","8+ glasses a day","naan and some gravy,burger,pizza","rasam rice,any chicken gravy and chapati,sambar rice","",""
"2025/03/24 9:30:39 PM GMT+5:30","Female","20","42","157","Andhra Pradesh","Occasionally (light activity)","2","3","3-5 glasses a day","Gobi Fried Rice, Masala Puri, Gobi Biryani","Bajra sprouts ","","Nothing, Enjoy every moment of having food and savor every bite."
